일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),대분류,중분류,통화비율(시군구내)
20191001,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191001,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191001,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191001,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191001,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191001,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191001,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191001,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191001,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191001,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191002,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191002,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191002,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191002,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191002,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191002,30,남성,충남,천안시 서북구,음식점,한식,0.0003
20191002,40,남성,충남,천안시 서북구,음식점,한식,0.0003
20191002,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191002,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191002,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191002,40,여성,충남,천안시 서북구,음식점,치킨,0.0003
20191002,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191002,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191002,30,여성,충남,천안시 서북구,음식점,한식,0.0003
20191002,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191003,40,남성,충남,천안시 서북구,음식점,중식,0.0002
20191003,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191003,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191003,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191003,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191003,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191003,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191003,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191003,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191003,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191003,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191003,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191003,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191003,40,여성,충남,천안시 서북구,음식점,양식,0.0001
20191003,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191004,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191004,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191004,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191004,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191004,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191004,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191004,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191004,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191004,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191004,30,여성,충남,천안시 서북구,음식점,분식,0.0001
20191004,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191004,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191004,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191005,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191005,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191005,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191005,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191005,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191005,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191005,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191005,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191005,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191005,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191005,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191005,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191005,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191005,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191005,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191006,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191006,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191006,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191006,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191006,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191006,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191006,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191006,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191006,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191006,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191006,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191006,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191006,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191007,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191007,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191007,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191007,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191007,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191007,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191008,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191008,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191008,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191008,40,남성,충남,천안시 서북구,음식점,한식,0.0002
